sIP,dIP,sPort,dPort,protocol,packets,bytes,flags,sTime,duration,eTime,sensor,in,out,nhIP,initialFlags,sessionFlags,attributes,application,class,type,sTime+msec,eTime+msec,dur+msec,iType,iCode,scc,dcc
192.168.1.6,192.168.1.13,55085,1800,6,187,11401,PA,1445735490.965,1799.195,1445737290.160,S0,0,0,0.0.0.0,PA,PA,TCS,80,all,int2int,1445735490.965,1445737290.160,1799.195,,,--,--
192.168.1.3,192.168.1.255,137,137,17,128,9984,,1445735541.774,1741.579,1445737283.353,S0,0,0,0.0.0.0,,,TCS,137,all,int2int,1445735541.774,1445737283.353,1741.579,,,--,--
192.168.1.3,192.168.1.255,57621,57621,17,59,4248,,1445735541.262,1772.914,1445737314.176,S0,0,0,0.0.0.0,,,TCS,0,all,int2int,1445735541.262,1445737314.176,1772.914,,,--,--
192.168.1.3,192.168.1.255,138,138,17,2,471,,1445736832.573,284.580,1445737117.153,S0,0,0,0.0.0.0,,,,138,all,int2int,1445736832.573,1445737117.153,284.580,,,--,--
192.168.1.3,192.168.1.255,138,138,17,1,229,,1445737551.651,0.000,1445737551.651,S0,0,0,0.0.0.0,,,,138,all,int2int,1445737551.651,1445737551.651,0.000,,,--,--
192.168.1.13,192.168.1.1,68,67,17,127,41656,,1445736092.058,1790.186,1445737882.244,S0,0,0,0.0.0.0,,,TCS,67,all,int2int,1445736092.058,1445737882.244,1790.186,,,--,--
192.168.1.3,192.168.1.255,138,138,17,2,471,,1445738017.178,252.936,1445738270.114,S0,0,0,0.0.0.0,,,,138,all,int2int,1445738017.178,1445738270.114,252.936,,,--,--
192.168.1.5,192.168.1.255,58937,137,17,1,78,,1445738273.083,0.000,1445738273.083,S0,0,0,0.0.0.0,,,,137,all,int2int,1445738273.083,1445738273.083,0.000,,,--,--
192.168.1.5,192.168.1.255,137,137,17,1,78,,1445738274.312,0.000,1445738274.312,S0,0,0,0.0.0.0,,,,137,all,int2int,1445738274.312,1445738274.312,0.000,,,--,--
192.168.1.5,192.168.1.255,138,138,17,1,202,,1445738274.415,0.000,1445738274.415,S0,0,0,0.0.0.0,,,,0,all,int2int,1445738274.415,1445738274.415,0.000,,,--,--
192.168.1.13,192.168.1.6,1800,55085,6,188,12220,PA,1445737291.038,1799.852,1445739090.890,S0,0,0,0.0.0.0,PA,PA,TC,80,all,int2int,1445737291.038,1445739090.890,1799.852,,,--,--
192.168.1.6,192.168.1.13,55085,1800,6,188,11453,PA,1445737291.038,1799.852,1445739090.890,S0,0,0,0.0.0.0,PA,PA,TCS,80,all,int2int,1445737291.038,1445739090.890,1799.852,,,--,--
192.168.1.3,192.168.1.255,137,137,17,133,10374,,1445737341.927,1754.992,1445739096.919,S0,0,0,0.0.0.0,,,TCS,137,all,int2int,1445737341.927,1445739096.919,1754.992,,,--,--
192.168.1.3,192.168.1.255,57621,57621,17,60,4320,,1445737344.283,1772.810,1445739117.093,S0,0,0,0.0.0.0,,,TCS,0,all,int2int,1445737344.283,1445739117.093,1772.810,,,--,--
192.168.1.13,192.168.1.1,68,67,17,127,41656,,1445737900.724,1795.314,1445739696.038,S0,0,0,0.0.0.0,,,TCS,67,all,int2int,1445737900.724,1445739696.038,1795.314,,,--,--
0.0.0.0,255.255.255.255,68,67,17,1,328,,1445734942.509,0.000,1445734942.509,S0,0,0,0.0.0.0,,,,67,all,ext2ext,1445734942.509,1445734942.509,0.000,,,--,--
0.0.0.0,255.255.255.255,68,67,17,1,328,,1445735534.918,0.000,1445735534.918,S0,0,0,0.0.0.0,,,,67,all,ext2ext,1445735534.918,1445735534.918,0.000,,,--,--
0.0.0.0,255.255.255.255,68,67,17,2,656,,1445735887.593,237.372,1445736124.965,S0,0,0,0.0.0.0,,,S,67,all,ext2ext,1445735887.593,1445736124.965,237.372,,,--,--
0.0.0.0,255.255.255.255,68,67,17,1,328,,1445736715.527,0.000,1445736715.527,S0,0,0,0.0.0.0,,,,67,all,ext2ext,1445736715.527,1445736715.527,0.000,,,--,--
0.0.0.0,255.255.255.255,68,67,17,1,328,,1445737312.130,0.000,1445737312.130,S0,0,0,0.0.0.0,,,,67,all,ext2ext,1445737312.130,1445737312.130,0.000,,,--,--
0.0.0.0,255.255.255.255,68,67,17,1,328,,1445737905.661,0.000,1445737905.661,S0,0,0,0.0.0.0,,,,67,all,ext2ext,1445737905.661,1445737905.661,0.000,,,--,--
