sIP,dIP,sPort,dPort,protocol,packets,bytes,flags,sTime,duration,eTime,sensor,in,out,nhIP,initialFlags,sessionFlags,attributes,application,class,type,sTime+msec,eTime+msec,dur+msec,iType,iCode,scc,dcc
23.235.46.162,192.168.1.11,443,57948,6,10,15351,SPA,2015/10/22T03:47:04.403,0.064,2015/10/22T03:47:04.467,S0,0,0,0.0.0.0,SA,PA,,443,all,inweb,2015/10/22T03:47:04.403,2015/10/22T03:47:04.467,0.064,,,us,--
23.235.46.162,192.168.1.11,443,57948,6,1,52,FA,2015/10/22T03:47:04.467,0.000,2015/10/22T03:47:04.467,S0,0,0,0.0.0.0,FA,,,0,all,inweb,2015/10/22T03:47:04.467,2015/10/22T03:47:04.467,0.000,,,us,--
23.235.46.162,192.168.1.11,443,57949,6,12,16204,SPA,2015/10/22T03:47:04.408,0.076,2015/10/22T03:47:04.484,S0,0,0,0.0.0.0,SA,PA,,443,all,inweb,2015/10/22T03:47:04.408,2015/10/22T03:47:04.484,0.076,,,us,--
23.235.46.162,192.168.1.11,443,57949,6,1,52,FA,2015/10/22T03:47:04.485,0.000,2015/10/22T03:47:04.485,S0,0,0,0.0.0.0,FA,,,0,all,inweb,2015/10/22T03:47:04.485,2015/10/22T03:47:04.485,0.000,,,us,--
23.235.46.162,192.168.1.11,443,57950,6,7,5760,SPA,2015/10/22T03:47:04.494,0.051,2015/10/22T03:47:04.545,S0,0,0,0.0.0.0,SA,PA,,443,all,inweb,2015/10/22T03:47:04.494,2015/10/22T03:47:04.545,0.051,,,us,--
23.235.46.162,192.168.1.11,443,57950,6,1,52,FA,2015/10/22T03:47:04.545,0.000,2015/10/22T03:47:04.545,S0,0,0,0.0.0.0,FA,,,0,all,inweb,2015/10/22T03:47:04.545,2015/10/22T03:47:04.545,0.000,,,us,--
23.235.46.162,192.168.1.11,443,57951,6,9,12369,SPA,2015/10/22T03:47:04.546,0.055,2015/10/22T03:47:04.601,S0,0,0,0.0.0.0,SA,PA,,443,all,inweb,2015/10/22T03:47:04.546,2015/10/22T03:47:04.601,0.055,,,us,--
23.235.46.162,192.168.1.11,443,57951,6,1,52,FA,2015/10/22T03:47:04.601,0.000,2015/10/22T03:47:04.601,S0,0,0,0.0.0.0,FA,,,0,all,inweb,2015/10/22T03:47:04.601,2015/10/22T03:47:04.601,0.000,,,us,--
204.246.169.97,192.168.1.11,443,50612,6,1,52,A,2015/10/22T03:47:03.409,0.000,2015/10/22T03:47:03.409,S0,0,0,0.0.0.0,A,,,0,all,inweb,2015/10/22T03:47:03.409,2015/10/22T03:47:03.409,0.000,,,us,--
192.168.1.11,209.102.213.14,51219,80,6,6,331,FSPA,2015/10/22T03:42:41.125,0.146,2015/10/22T03:42:41.271,S0,0,0,0.0.0.0,S,FPA,,80,all,outweb,2015/10/22T03:42:41.125,2015/10/22T03:42:41.271,0.146,,,--,us
192.168.1.11,91.189.91.15,43923,80,6,792,50057,FSPA,2015/10/22T03:45:30.734,4.877,2015/10/22T03:45:35.611,S0,0,0,0.0.0.0,S,FPA,,80,all,outweb,2015/10/22T03:45:30.734,2015/10/22T03:45:35.611,4.877,,,--,us
192.168.1.11,91.189.91.15,43924,80,6,46,10206,FSPA,2015/10/22T03:45:35.593,1.949,2015/10/22T03:45:37.542,S0,0,0,0.0.0.0,S,FPA,,80,all,outweb,2015/10/22T03:45:35.593,2015/10/22T03:45:37.542,1.949,,,--,us
192.168.1.11,91.189.88.149,41355,80,6,342,21685,FSPA,2015/10/22T03:45:30.733,6.871,2015/10/22T03:45:37.604,S0,0,0,0.0.0.0,S,FPA,,80,all,outweb,2015/10/22T03:45:30.733,2015/10/22T03:45:37.604,6.871,,,--,gb
192.168.1.11,91.189.91.14,48573,80,6,336,19357,FSPA,2015/10/22T03:45:39.912,2.029,2015/10/22T03:45:41.941,S0,0,0,0.0.0.0,S,FPA,,80,all,outweb,2015/10/22T03:45:39.912,2015/10/22T03:45:41.941,2.029,,,--,us
192.168.1.11,91.189.91.23,52230,80,6,45,2516,FSPA,2015/10/22T03:45:44.310,0.120,2015/10/22T03:45:44.430,S0,0,0,0.0.0.0,S,FPA,,80,all,outweb,2015/10/22T03:45:44.310,2015/10/22T03:45:44.430,0.120,,,--,us
192.168.1.11,91.189.91.13,51816,80,6,975,53320,FSPA,2015/10/22T03:45:45.455,4.228,2015/10/22T03:45:49.683,S0,0,0,0.0.0.0,S,FPA,,80,all,outweb,2015/10/22T03:45:45.455,2015/10/22T03:45:49.683,4.228,,,--,us
192.168.1.11,91.189.91.13,51817,80,6,4355,234013,FSPA,2015/10/22T03:45:52.072,26.562,2015/10/22T03:46:18.634,S0,0,0,0.0.0.0,S,FPA,,80,all,outweb,2015/10/22T03:45:52.072,2015/10/22T03:46:18.634,26.562,,,--,us
192.168.1.11,192.30.252.129,33102,443,6,3290,172571,FSRPA,2015/10/22T03:46:21.754,1.970,2015/10/22T03:46:23.724,S0,0,0,0.0.0.0,S,FRPA,,443,all,outweb,2015/10/22T03:46:21.754,2015/10/22T03:46:23.724,1.970,,,--,us
192.168.1.11,192.30.252.129,33102,443,6,1,40,R,2015/10/22T03:46:23.724,0.000,2015/10/22T03:46:23.724,S0,0,0,0.0.0.0,R,,,0,all,outweb,2015/10/22T03:46:23.724,2015/10/22T03:46:23.724,0.000,,,--,us
192.168.1.11,192.30.252.129,33102,443,6,1,40,R,2015/10/22T03:46:23.725,0.000,2015/10/22T03:46:23.725,S0,0,0,0.0.0.0,R,,,0,all,outweb,2015/10/22T03:46:23.725,2015/10/22T03:46:23.725,0.000,,,--,us
192.168.1.11,192.30.252.129,33101,443,6,13,1938,FSRPA,2015/10/22T03:46:21.560,2.165,2015/10/22T03:46:23.725,S0,0,0,0.0.0.0,S,FRPA,,443,all,outweb,2015/10/22T03:46:21.560,2015/10/22T03:46:23.725,2.165,,,--,us
192.168.1.11,192.30.252.129,33101,443,6,1,40,R,2015/10/22T03:46:23.725,0.000,2015/10/22T03:46:23.725,S0,0,0,0.0.0.0,R,,,0,all,outweb,2015/10/22T03:46:23.725,2015/10/22T03:46:23.725,0.000,,,--,us
192.168.1.11,192.241.233.42,53121,443,6,11,1153,FSPA,2015/10/22T03:46:23.932,0.479,2015/10/22T03:46:24.411,S0,0,0,0.0.0.0,S,FPA,,443,all,outweb,2015/10/22T03:46:23.932,2015/10/22T03:46:24.411,0.479,,,--,us
192.168.1.11,91.189.91.24,58763,80,6,982,69768,FSPA,2015/10/22T03:46:24.319,6.147,2015/10/22T03:46:30.466,S0,0,0,0.0.0.0,S,FPA,,80,all,outweb,2015/10/22T03:46:24.319,2015/10/22T03:46:30.466,6.147,,,--,us
192.168.1.11,91.189.92.201,46370,80,6,23,5099,FSPA,2015/10/22T03:46:24.310,6.221,2015/10/22T03:46:30.531,S0,0,0,0.0.0.0,S,FPA,,80,all,outweb,2015/10/22T03:46:24.310,2015/10/22T03:46:30.531,6.221,,,--,gb
192.168.1.11,192.241.233.42,53124,443,6,11,1178,FSPA,2015/10/22T03:46:32.423,0.445,2015/10/22T03:46:32.868,S0,0,0,0.0.0.0,S,FPA,,443,all,outweb,2015/10/22T03:46:32.423,2015/10/22T03:46:32.868,0.445,,,--,us
192.168.1.11,192.241.233.42,53125,443,6,11,1173,FSPA,2015/10/22T03:46:32.796,0.408,2015/10/22T03:46:33.204,S0,0,0,0.0.0.0,S,FPA,,443,all,outweb,2015/10/22T03:46:32.796,2015/10/22T03:46:33.204,0.408,,,--,us
192.168.1.11,91.189.91.15,43937,80,6,56,14200,FSPA,2015/10/22T03:46:33.185,1.532,2015/10/22T03:46:34.717,S0,0,0,0.0.0.0,S,FPA,,80,all,outweb,2015/10/22T03:46:33.185,2015/10/22T03:46:34.717,1.532,,,--,us
192.168.1.11,91.189.91.15,43939,80,6,29,5800,FSPA,2015/10/22T03:46:34.692,1.563,2015/10/22T03:46:36.255,S0,0,0,0.0.0.0,S,FPA,,80,all,outweb,2015/10/22T03:46:34.692,2015/10/22T03:46:36.255,1.563,,,--,us
192.168.1.11,91.189.91.14,48584,80,6,23,5099,FSPA,2015/10/22T03:46:33.171,3.085,2015/10/22T03:46:36.256,S0,0,0,0.0.0.0,S,FPA,,80,all,outweb,2015/10/22T03:46:33.171,2015/10/22T03:46:36.256,3.085,,,--,us
192.168.1.11,192.241.233.42,53128,443,6,28,7038,FSPA,2015/10/22T03:46:33.214,3.097,2015/10/22T03:46:36.311,S0,0,0,0.0.0.0,S,FPA,,443,all,outweb,2015/10/22T03:46:33.214,2015/10/22T03:46:36.311,3.097,,,--,us
192.168.1.11,91.189.91.23,52244,80,6,33,2016,FSPA,2015/10/22T03:46:38.644,2.184,2015/10/22T03:46:40.828,S0,0,0,0.0.0.0,S,FPA,,80,all,outweb,2015/10/22T03:46:38.644,2015/10/22T03:46:40.828,2.184,,,--,us
192.168.1.11,192.241.233.42,53131,443,6,1092,57808,FSPA,2015/10/22T03:46:38.653,2.237,2015/10/22T03:46:40.890,S0,0,0,0.0.0.0,S,FPA,,443,all,outweb,2015/10/22T03:46:38.653,2015/10/22T03:46:40.890,2.237,,,--,us
192.168.1.11,54.83.1.203,59091,443,6,12,1392,FSPA,2015/10/22T03:46:42.733,0.159,2015/10/22T03:46:42.892,S0,0,0,0.0.0.0,S,FPA,,443,all,outweb,2015/10/22T03:46:42.733,2015/10/22T03:46:42.892,0.159,,,--,us
192.168.1.11,204.246.169.97,50612,443,6,34977,1857060,FSPA,2015/10/22T03:46:43.154,20.255,2015/10/22T03:47:03.409,S0,0,0,0.0.0.0,S,FPA,,443,all,outweb,2015/10/22T03:46:43.154,2015/10/22T03:47:03.409,20.255,,,--,us
